#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,LOSS,WIN,10,96,0.00,1.00,1.00,0.00,0.00
2,DRAW,DRAW,99,742,0.00,0.50,0.50,0.00,0.50
3,LOSS,WIN,58,203,0.00,0.67,0.67,0.00,0.33
4,LOSS,WIN,12,38,0.00,0.75,0.75,0.00,0.25
5,LOSS,WIN,32,106,0.00,0.80,0.80,0.00,0.20
6,DRAW,DRAW,40,309,0.00,0.67,0.67,0.00,0.33
7,LOSS,WIN,94,355,0.00,0.71,0.71,0.00,0.29
