#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
1,WIN,LOSS,45,97,1.00,0.00,0.00,1.00,0.00
2,DRAW,DRAW,85,226,0.50,0.00,0.00,0.50,0.50
3,WIN,LOSS,39,80,0.67,0.00,0.00,0.67,0.33
4,WIN,LOSS,17,54,0.75,0.00,0.00,0.75,0.25
