#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
93,LOSS,WIN,58,14,0.00,0.76,0.76,0.00,0.24
94,LOSS,WIN,26,6,0.00,0.77,0.77,0.00,0.23
95,DRAW,DRAW,78,20,0.00,0.76,0.76,0.00,0.24
96,LOSS,WIN,52,14,0.00,0.76,0.76,0.00,0.24
97,LOSS,WIN,46,11,0.00,0.76,0.76,0.00,0.24
98,DRAW,DRAW,108,27,0.00,0.76,0.76,0.00,0.24
99,LOSS,WIN,68,16,0.00,0.76,0.76,0.00,0.24
100,LOSS,WIN,26,6,0.00,0.76,0.76,0.00,0.24
101,LOSS,WIN,50,12,0.00,0.76,0.76,0.00,0.24
102,LOSS,WIN,16,3,0.00,0.76,0.76,0.00,0.24
103,DRAW,DRAW,62,15,0.00,0.76,0.76,0.00,0.24
