#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
92,DRAW,DRAW,180,18,0.09,0.14,0.14,0.09,0.77
93,DRAW,DRAW,178,18,0.09,0.14,0.14,0.09,0.77
94,WIN,LOSS,147,15,0.10,0.14,0.14,0.10,0.77
95,DRAW,DRAW,262,27,0.09,0.14,0.14,0.09,0.77
96,DRAW,DRAW,286,29,0.09,0.14,0.14,0.09,0.77
97,DRAW,DRAW,229,23,0.09,0.13,0.13,0.09,0.77
98,LOSS,WIN,200,20,0.09,0.14,0.14,0.09,0.77
99,WIN,LOSS,191,19,0.10,0.14,0.14,0.10,0.76
100,DRAW,DRAW,238,24,0.10,0.14,0.14,0.10,0.76
101,DRAW,DRAW,227,23,0.10,0.14,0.14,0.10,0.76
102,DRAW,DRAW,239,24,0.10,0.14,0.14,0.10,0.76
103,DRAW,DRAW,240,24,0.10,0.14,0.14,0.10,0.77
104,DRAW,DRAW,263,27,0.10,0.13,0.13,0.10,0.77
105,DRAW,DRAW,211,21,0.10,0.13,0.13,0.10,0.77
106,DRAW,DRAW,293,30,0.09,0.13,0.13,0.09,0.77
107,LOSS,WIN,114,11,0.09,0.14,0.14,0.09,0.77
108,DRAW,DRAW,239,24,0.09,0.14,0.14,0.09,0.77
109,DRAW,DRAW,226,23,0.09,0.14,0.14,0.09,0.77
110,DRAW,DRAW,289,29,0.09,0.14,0.14,0.09,0.77
111,DRAW,DRAW,285,29,0.09,0.14,0.14,0.09,0.77
112,DRAW,DRAW,301,31,0.09,0.13,0.13,0.09,0.78
113,DRAW,DRAW,260,26,0.09,0.13,0.13,0.09,0.78
114,LOSS,WIN,126,12,0.09,0.14,0.14,0.09,0.77
115,DRAW,DRAW,223,23,0.09,0.14,0.14,0.09,0.77
116,WIN,LOSS,227,23,0.09,0.14,0.14,0.09,0.77
117,DRAW,DRAW,210,21,0.09,0.14,0.14,0.09,0.77
118,DRAW,DRAW,230,23,0.09,0.14,0.14,0.09,0.77
119,DRAW,DRAW,240,24,0.09,0.13,0.13,0.09,0.77
120,DRAW,DRAW,302,31,0.09,0.13,0.13,0.09,0.77
121,LOSS,WIN,310,32,0.09,0.14,0.14,0.09,0.77
122,DRAW,DRAW,241,24,0.09,0.14,0.14,0.09,0.77
123,DRAW,DRAW,207,21,0.09,0.14,0.14,0.09,0.77
124,DRAW,DRAW,233,24,0.09,0.14,0.14,0.09,0.77
125,DRAW,DRAW,225,23,0.09,0.14,0.14,0.09,0.78
126,DRAW,DRAW,216,22,0.09,0.13,0.13,0.09,0.78
127,DRAW,DRAW,238,24,0.09,0.13,0.13,0.09,0.78
128,DRAW,DRAW,184,19,0.09,0.13,0.13,0.09,0.78
